trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.5, 'e': 0.6636502501363194}",20,0,-32.94753869411711,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
43,False,"{'a': 0.5, 'e': 0.6570468198150567}",20,0,-68.84383404302625,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
44,False,"{'a': 0.5, 'e': 0.6505090947233165}",25,12,-7.112206220284503,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
45,False,"{'a': 0.5, 'e': 0.6440364210831414}",25,0,-11.327061578823404,"{0: 21, 1: 2, 2: 1, 3: 1, 4: 0}",0
46,False,"{'a': 0.5, 'e': 0.6376281516217733}",20,14,13.712632819509395,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.5, 'e': 0.631283645506926}",30,0,-131.8093134398239,"{0: 21, 1: 3, 2: 3, 3: 0, 4: 3}",0
48,False,"{'a': 0.5, 'e': 0.6250022682827008}",25,0,-97.57988634660273,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
49,False,"{'a': 0.5, 'e': 0.6187833918061408}",20,9,-20.20396200461371,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.6126263941844161}",35,0,-239.7711225138554,"{0: 21, 1: 3, 2: 5, 3: 2, 4: 4}",0
51,False,"{'a': 0.5, 'e': 0.6065306597126334}",30,0,-25.847567496162643,"{0: 24, 1: 3, 2: 2, 3: 1, 4: 0}",0
52,False,"{'a': 0.5, 'e': 0.6004955788122659}",20,0,22.72436986118372,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
53,False,"{'a': 0.5, 'e': 0.5945205479701944}",20,0,-41.66134199466941,"{0: 16, 1: 0, 2: 2, 3: 2, 4: 0}",0
54,False,"{'a': 0.5, 'e': 0.5886049696783552}",20,7,-11.643517545009756,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 0}",1
55,False,"{'a': 0.5, 'e': 0.5827482523739896}",30,8,-96.33435787673906,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 2}",1
56,False,"{'a': 0.5, 'e': 0.5769498103804866}",20,0,-57.284130451196965,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
57,False,"{'a': 0.5, 'e': 0.5712090638488149}",20,9,-23.64892635234461,"{0: 8, 1: 1, 2: 1, 3: 1, 4: 0}",1
58,False,"{'a': 0.5, 'e': 0.5655254386995371}",25,0,-11.280562642220024,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 0}",0
59,False,"{'a': 0.5, 'e': 0.559898366565402}",20,0,2.0021936826169,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
60,False,"{'a': 0.5, 'e': 0.5543272847345071}",20,0,-55.29032175438447,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",1
61,False,"{'a': 0.5, 'e': 0.5488116360940265}",20,0,-5.694480302285994,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
